# Copyright (C) 2025 by Curiosio
# Licensed under ECL (Educational Community License)

osm_id	name	country	area	bounding_box
6384172	Campolide	Portugal	2.870581689867347	POLYGON((-9.18015057852733 38.7223013353876,-9.18015057852733 38.7416701534219,-9.15547517759384 38.7416701534219,-9.15547517759384 38.7223013353876,-9.18015057852733 38.7223013353876))
6431661	Armação de Pêra	Portugal	8.101197969703968	POLYGON((-8.38649172017517 37.0986498286258,-8.38649172017517 37.1329550304773,-8.34277774819239 37.1329550304773,-8.34277774819239 37.0986498286258,-8.38649172017517 37.0986498286258))
6451761	Ferreirós do Dão	Portugal	8.800480278096272	POLYGON((-8.05528777325338 40.4600458832238,-8.05528777325338 40.4953697377679,-8.00831307329807 40.4953697377679,-8.00831307329807 40.4600458832238,-8.05528777325338 40.4600458832238))
6385130	Benfica	Portugal	8.313826403784738	POLYGON((-9.21988440378814 38.7168630727896,-9.21988440378814 38.7590548911561,-9.17385333849208 38.7590548911561,-9.17385333849208 38.7168630727896,-9.21988440378814 38.7168630727896))
7448366	São Mateus da Calheta	Portugal	6.208665065305526	POLYGON((-27.2894490243534 38.6522709534681,-27.2894490243534 38.6782531769253,-27.2499924724495 38.6782531769253,-27.2499924724495 38.6522709534681,-27.2894490243534 38.6522709534681))
7540342	Santana	Portugal	6.264908329317479	POLYGON((-25.2611785762488 37.8025167948604,-25.2611785762488 37.8583532619459,-25.2319934599508 37.8583532619459,-25.2319934599508 37.8025167948604,-25.2611785762488 37.8025167948604))
7540321	Santa Bárbara	Portugal	8.932781352082031	POLYGON((-25.759748929159 37.8471245291786,-25.759748929159 37.8886697675342,-25.7078673792668 37.8886697675342,-25.7078673792668 37.8471245291786,-25.759748929159 37.8471245291786))
7448361	Porto Martins	Portugal	3.5842727793547122	POLYGON((-27.0730274462229 38.6752194308907,-27.0730274462229 38.6979326282913,-27.0412059699198 38.6979326282913,-27.0412059699198 38.6752194308907,-27.0730274462229 38.6752194308907))
7430842	Topo (Nossa Senhora do Rosário)	Portugal	9.679234761416362	POLYGON((-27.8143200292224 38.5369522266927,-27.8143200292224 38.5774483860471,-27.7436341824747 38.5774483860471,-27.7436341824747 38.5369522266927,-27.8143200292224 38.5369522266927))
7540303	Pico da Pedra	Portugal	6.728364028290541	POLYGON((-25.6391604160394 37.7743065777206,-25.6391604160394 37.8144913493721,-25.5981659525413 37.8144913493721,-25.5981659525413 37.7743065777206,-25.6391604160394 37.7743065777206))
7540305	Lomba de São Pedro	Portugal	8.445628694252065	POLYGON((-25.3208049208542 37.7872265270913,-25.3208049208542 37.8612289252867,-25.2719956737513 37.8612289252867,-25.2719956737513 37.7872265270913,-25.3208049208542 37.7872265270913))
7448355	Vila Nova	Portugal	8.469622081724149	POLYGON((-27.1798269742508 38.762802691522,-27.1798269742508 38.7936163277876,-27.12686323684 38.7936163277876,-27.12686323684 38.762802691522,-27.1798269742508 38.762802691522))
7540340	Santo António de Nordestinho	Portugal	9.59769304308176	POLYGON((-25.2320497025212 37.8084104462578,-25.2320497025212 37.8589823237791,-25.200177934799 37.8589823237791,-25.200177934799 37.8084104462578,-25.2320497025212 37.8084104462578))
7540324	Remédios	Portugal	5.731750831390734	POLYGON((-25.762788961621 37.8481385718245,-25.762788961621 37.8940755921669,-25.7269072076016 37.8940755921669,-25.7269072076016 37.8481385718245,-25.762788961621 37.8481385718245))
7540335	Fajã de Baixo	Portugal	4.156843249099903	POLYGON((-25.6582309221398 37.7485493245445,-25.6582309221398 37.7789786505495,-25.6278281667678 37.7789786505495,-25.6278281667678 37.7485493245445,-25.6582309221398 37.7485493245445))
